epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1331.71,0.67849,0.73013,1.15366,0.35534,0.68978,0.45023,0.37439,1.13144,1.72596,1.70245,0.000484063,0.000484063,0.000484063
59,1354.33,0.67974,0.74356,1.16512,0.3591,0.67305,0.45238,0.38012,1.1737,1.69106,1.75172,0.000473064,0.000473064,0.000473064
60,1376.86,0.67728,0.7473,1.15479,0.3554,0.67766,0.43655,0.36107,1.13709,1.72213,1.73168,0.000462065,0.000462065,0.000462065
61,1399.25,0.64808,0.72297,1.15449,0.36291,0.6822,0.45274,0.3717,1.14806,1.70852,1.71992,0.000451066,0.000451066,0.000451066
62,1421.51,0.64635,0.71735,1.14579,0.35945,0.6623,0.4462,0.37335,1.16171,1.69413,1.72301,0.000440067,0.000440067,0.000440067
63,1444.41,0.65983,0.72689,1.15874,0.39132,0.63567,0.43939,0.37267,1.15998,1.71243,1.73851,0.000429068,0.000429068,0.000429068
64,1466.95,0.65668,0.71257,1.14307,0.36575,0.66601,0.43157,0.36325,1.16051,1.66957,1.71176,0.000418069,0.000418069,0.000418069
65,1488.94,0.64273,0.70978,1.13821,0.36065,0.67215,0.4354,0.3701,1.11946,1.6912,1.72666,0.00040707,0.00040707,0.00040707
66,1511.58,0.62413,0.69345,1.13722,0.38469,0.65295,0.44027,0.37082,1.14015,1.60696,1.68618,0.000396071,0.000396071,0.000396071
67,1534.22,0.64721,0.69302,1.13992,0.4093,0.58553,0.43132,0.36364,1.16199,1.79868,1.74338,0.000385073,0.000385073,0.000385073
68,1556.09,0.63139,0.68873,1.121,0.39099,0.54148,0.43235,0.36337,1.14056,1.80847,1.7151,0.000374074,0.000374074,0.000374074
69,1578.65,0.61133,0.67933,1.12027,0.39811,0.58648,0.45592,0.37819,1.13988,1.62572,1.73214,0.000363075,0.000363075,0.000363075
70,1601.47,0.62949,0.67931,1.13458,0.35391,0.70032,0.43701,0.3707,1.07135,1.74301,1.61559,0.000352076,0.000352076,0.000352076
71,1623.43,0.61473,0.66948,1.13238,0.36002,0.67791,0.43078,0.36219,1.16183,1.68197,1.69263,0.000341077,0.000341077,0.000341077
72,1646.01,0.62424,0.67442,1.11674,0.37579,0.65017,0.43105,0.35377,1.13241,1.67021,1.66576,0.000330078,0.000330078,0.000330078
73,1668.62,0.63059,0.6871,1.12614,0.40599,0.61315,0.42972,0.35891,1.11749,1.58826,1.67088,0.000319079,0.000319079,0.000319079
74,1691.09,0.60636,0.67204,1.12422,0.35964,0.671,0.43392,0.36764,1.10359,1.63249,1.66503,0.00030808,0.00030808,0.00030808
